timestamp,s7_b2,s9_b1,s9_b2,s7_b3,s7_b4,s7_b1,s10_b1,s10_b2,s8_b2,s8_b3,s8_b1,hv_bk_1
07/19/13 03:59,4238558.497783,2654020.985675,1064663.0825450001,3703410.8903360004,3183802.9701850004,7979432.666177999,4261208.853836,2121935.926271,4781754.282651,2658878.055366,1063551.3110850002,
07/19/13 04:00,4305204.027698,2695877.982403,1081454.204679,3761641.9829020007,3233863.951599,8104898.079868999,4328317.487123,2155353.930036,4857041.984616,2700741.567264,1080296.730099,
07/19/13 04:00,4305204.027698,2695877.982403,1081454.204679,3761641.9829020007,3233863.951599,8104898.079868999,4328317.487123,2155353.930036,4857041.984616,2700741.567264,1080296.730099,
07/19/13 04:01,4337498.582122,2716162.3087090002,1089591.35495,3789859.137314,3258122.0994550004,8165695.097289001,4360837.897058,2171548.081034,4893525.509496,2721028.127705,1088411.361332,
07/19/13 04:01,4337498.582122,2716162.3087090002,1089591.35495,3789859.137314,3258122.0994550004,8165695.097289001,4360837.897058,2171548.081034,4893525.509496,2721028.127705,1088411.361332,
07/19/13 04:02,4331999.165956,2712708.033992,1088205.65677,3785054.0586139997,3253991.1970929997,8155342.017577,4355299.956604,2168790.3591050003,4887312.701704,2717573.513545,1087029.51446,
07/19/13 04:02,4331999.165956,2712708.033992,1088205.65677,3785054.0586139997,3253991.1970929997,8155342.017577,4355299.956604,2168790.3591050003,4887312.701704,2717573.513545,1087029.51446,
07/19/13 04:03,4356198.680195,2727908.388641,1094303.349152,3806198.2250410006,3272168.732281,8200899.489529001,4379669.213291001,2180925.4905479997,4914651.587271,2732775.223433,1093110.203754,
07/19/13 04:03,4356198.680195,2727908.388641,1094303.349152,3806198.2250410006,3272168.732281,8200899.489529001,4379669.213291001,2180925.4905479997,4914651.587271,2732775.223433,1093110.203754,
07/19/13 04:04,4379194.141562,2742352.996584,1100097.870838,3826290.358293,3289441.839819,8244190.237139,4402826.473905999,2192457.086465,4940630.636553,2747220.80038,1098888.4396580001,
